x,y,z,ESP,MHP
-0.048,17.741,7.447,-14.280883564386308,0.11096964359499534
-0.171,18.202,7.447,-14.544850798644585,0.14282866071261374
-0.071,17.741,7.917,-15.226118575591356,0.10917623592524471
-9.048,17.741,7.447,-15.933599564057054,0.21419334309021723
-9.028,18.153,7.447,-16.168436233060785,0.1870936972376568
-9.357,17.644,7.842,-16.04080587938627,0.24356879270044057
-8.232,17.408,7.447,-15.99951875887455,0.1482403605863264
-0.071,17.27,7.447,-13.993348845059382,0.08567261253405194
-0.071,17.741,6.976,-13.559187964442518,0.11531154224616647
-9.028,17.741,7.035,-15.716860639388766,0.214182750414525
-0.239,17.741,8.364,-16.33554318049527,0.11420023608274321
-0.194,18.204,7.91,-15.268786804259337,0.14778499066251297
-8.771,17.741,8.227,-16.036114208952245,0.22510570673307034
-9.344,18.117,7.825,-16.25408832296118,0.2143025275967579
-8.314,17.396,7.792,-16.140330267309242,0.16046018848858373
-0.194,17.278,7.91,-15.0126383744089,0.08247138359191816
-0.141,17.741,6.511,-12.896646039673925,0.11892872160103965
-0.095,17.268,6.974,-13.3648398587876,0.09265777343111893
-8.968,17.741,6.628,-15.547244623282614,0.2065554208234344
-8.215,17.406,7.112,-15.824210028769606,0.147049858355405
-9.007,18.155,7.033,-16.087410384622324,0.17885431679487906
-0.194,18.204,6.984,-13.875918189225713,0.14437296907530842
-0.435,18.619,7.447,-14.912311806536799,0.15554533692009045
-8.771,18.521,7.447,-16.285301824260063,0.15490304754998308
-7.889,17.136,7.447,-16.05629351305232,0.11791092478986195
-0.141,16.804,7.447,-13.865690927841994,0.0763418342537027
-1.43,19.157,7.447,-16.000183682047485,0.08868462113394547
-0.951,18.944,7.858,-15.871107179648433,0.12830978757901076
-1.021,18.902,7.447,-15.601025084636365,0.11559701469429712
-8.451,19.233,7.447,-16.45124801918731,0.11562335346795914
-8.366,18.827,7.818,-16.253520935212386,0.14116684328163914
-8.389,18.815,7.447,-16.287456917747615,0.12701923565989132
-7.62,16.593,7.447,-16.18682726398428,0.08908801506594283
-7.795,16.831,7.758,-16.275710517218478,0.10579809829979561
-7.719,16.87,7.447,-16.113527260813797,0.10128518026897906
-0.321,15.866,7.447,-14.50472238280721,0.09033305521318355
-0.285,16.332,7.928,-14.794848803357985,0.08109918501287397
-0.255,16.348,7.447,-14.110055882822921,0.07986864652013945
-0.285,16.332,6.965,-13.627482664680203,0.08183656334943556
-7.7,16.861,7.146,-15.957242534511469,0.10182438253836837
-9.126,19.062,6.996,-16.735303377425144,0.12960440290829878
-1.236,18.856,7.066,-15.396866695653932,0.10482631947009587
-0.558,18.612,7.886,-15.448488877539049,0.1559022736510231
-9.268,18.636,7.841,-16.50036957409855,0.18181685406157658
-7.969,17.108,7.767,-16.20738410140412,0.12581910574312827
-0.265,16.811,7.916,-14.79872463042453,0.07405409394214521
-0.168,16.791,6.968,-13.339802561084777,0.08258044842633076
-7.871,17.127,7.137,-15.899709156363432,0.11730537650605924
-9.236,18.632,6.998,-16.521834747511093,0.15552262693391217
-0.558,18.612,7.007,-14.502053326925308,0.1490375293273409
-0.722,18.596,8.302,-15.869045393131872,0.15945480772708093
-9.192,18.641,8.349,-16.342377301485215,0.21089557651454066
-7.919,17.105,8.083,-16.25908338444624,0.13324565923555792
-0.818,16.906,8.282,-15.724950047369841,0.08113536280779457
-0.242,16.787,6.493,-12.795132209713017,0.08993880338100599
-8.015,17.085,6.791,-15.653422361736467,0.13262740271749168
-9.167,18.635,6.553,-16.407077984879777,0.14822539547045305
-0.626,18.615,6.572,-14.043928361224742,0.15296812949696675
-1.153,17.741,8.978,-16.40811825997314,0.12044240033357262
-0.733,17.741,8.695,-16.40993309151176,0.12083652398093334
-0.76,18.172,8.709,-16.28779476863747,0.1493121927832684
-8.544,17.741,8.978,-15.760387738388564,0.27356758882790466
-8.58,17.741,8.579,-15.93295035591782,0.2398091304606083
-9.14,18.138,8.831,-15.878624890663966,0.2815828691459587
-7.986,17.41,8.415,-16.11623025026273,0.16737226228165647
-1.141,17.35,8.591,-16.088570491950392,0.0920045056807491
-0.321,17.741,5.572,-11.985313995876364,0.12320562024055784
-0.255,17.741,6.054,-12.393321569261076,0.12086858618744417
-0.285,17.259,6.038,-12.203095186445736,0.10753243442122429
-9.098,17.741,5.687,-15.203925565900144,0.18503087979285787
-8.963,17.741,6.199,-15.41457609721563,0.1950352414262179
-8.651,17.34,6.273,-15.070274000609825,0.19783370007070988
-9.126,18.192,6.126,-15.948840438661989,0.16816706993875025
-0.285,18.222,6.038,-12.687547537741175,0.14589827231594493
-0.558,18.18,8.318,-15.927341157385344,0.14252507807672632
-9.268,18.133,8.344,-16.121635029666056,0.24279241665617934
-8.261,17.391,8.14,-16.192606962431043,0.17134028604714158
-0.558,17.301,8.318,-15.96324099222544,0.09035364258023378
-0.168,17.261,6.497,-12.721498080373593,0.09920421595784884
-8.359,17.381,6.734,-15.536240832148268,0.164907717486756
-9.236,18.19,6.556,-16.109395730272915,0.1798258761909851
-0.265,18.21,6.517,-13.273129819630888,0.14686659179590966
-2.444,17.741,9.851,-16.35928632268006,0.11198117779886757
-2.065,17.741,9.731,-16.579922398386007,0.11428967667876994
