x,y,z,ESP
27.914,23.073,15.43,38.44333883416438
28.486,23.651,15.43,38.4209751009385
28.187,23.073,15.978,38.18463224525305
17.314,23.073,15.43,38.44334079022346
17.24,23.602,15.43,38.361235890188006
17.041,23.073,15.978,38.184633954747085
16.742,22.495,15.43,38.420976129290985
27.988,22.544,15.43,38.36123361979206
27.888,23.073,14.91,38.53326512951413
17.34,23.073,14.91,38.53326722663505
28.499,23.073,16.6,37.92013571674076
29.513,23.757,16.115,37.65910166849294
16.729,23.073,16.6,37.920137517240384
17.267,23.605,15.961,38.26211789681311
15.715,22.389,16.115,37.659102366313014
27.961,22.541,15.961,38.26211561793407
28.008,23.073,14.357,38.51262571748534
27.763,22.561,14.917,38.704202517597054
17.22,23.073,14.357,38.51262777905062
16.772,22.492,14.849,38.539438953714885
17.465,23.585,14.917,38.70420537408977
28.456,23.654,14.849,38.53943795754479
28.989,24.341,15.43,38.35496717642589
17.416,24.107,15.43,38.715399695279594
16.239,21.805,15.43,38.35496766992395
27.812,22.039,15.43,38.715396783028964
28.619,25.56,15.43,38.76758914749904
28.793,24.981,16.082,38.55950969705842
28.834,24.96,15.43,38.4226947619195
17.995,24.986,15.43,39.88568435694904
17.765,24.57,15.941,39.13627428135241
17.734,24.553,15.43,39.2801821999877
16.609,20.586,15.43,38.76758915800837
16.435,21.165,16.082,38.55951006617275
16.394,21.186,15.43,38.422695019995366
27.233,21.16,15.43,39.885679291676595
27.463,21.576,15.941,39.13627062043487
27.494,21.593,15.43,39.28017821845028
27.367,21.606,14.928,39.58070209330559
16.339,21.136,14.767,38.24318911876064
17.861,24.54,14.928,39.58070693968537
28.889,25.01,14.767,38.24318898250178
28.855,24.34,16.069,38.2388572661385
17.348,24.142,15.969,38.479791084788765
16.373,21.806,16.069,38.23885794358054
27.88,22.004,15.969,38.479788436996635
27.392,22.103,14.94,39.128683960957474
16.276,21.787,14.78,38.43980087060294
17.836,24.043,14.94,39.1286882420913
28.952,24.359,14.78,38.4398004815082
28.948,24.385,16.741,37.97305910822562
17.24,24.186,16.543,38.31406780753032
16.28,21.761,16.741,37.97305996397491
27.988,21.96,16.543,38.3140651033731
27.22,22.119,14.476,39.21687154262645
16.28,21.761,14.118,38.17626389556888
18.008,24.027,14.476,39.21687689099801
28.948,24.385,14.118,38.176263593854316
29.13,23.072,18.147,37.1010361943669
29.382,23.072,17.44,37.33979481496966
28.889,23.735,17.366,37.552588082906226
16.098,23.074,18.147,37.101040534302335
15.846,23.074,17.44,37.33979734027497
17.005,23.665,17.161,38.044779361817135
16.339,22.411,17.366,37.55258990304442
28.223,22.481,17.161,38.04477631142457
27.695,23.073,13.325,38.182839215252386
27.877,23.073,13.833,38.372748164591016
27.558,22.551,13.904,38.71868500977409
17.533,23.073,13.325,38.18284215552999
17.351,23.073,13.833,38.3727506000006
16.435,22.421,13.522,37.869830346463445
17.67,23.595,13.904,38.71868904896998
28.793,23.725,13.522,37.86982975962502
29.05,23.732,16.736,37.67534632820316
17.251,23.622,16.518,38.206720005702046
16.178,22.414,16.736,37.675347589019346
27.977,22.524,16.518,38.20671756058531
27.587,22.564,14.42,38.82781528623353
16.373,22.434,14.163,38.4921463181664
17.641,23.582,14.42,38.82781884610242
28.855,23.712,14.163,38.49214568497216
26.927,23.073,19.743,38.61756680888587
27.561,23.073,19.49,38.64900734737236
27.442,23.755,19.575,38.448674179142856
18.301,23.073,19.743,38.61756733481474
17.667,23.073,19.49,38.6490100607584
17.635,23.776,19.705,38.72237343183585
17.786,22.391,19.575,38.44867549572252
27.593,22.37,19.705,38.72236927843011
26.432,23.073,11.611,36.866789420600476
26.479,23.073,12.258,37.71596372421987
26.687,22.497,11.932,37.43380452423071
18.796,23.073,11.611,36.8667960057147
18.749,23.073,12.258,37.715970631323465
18.918,22.551,12.256,37.457584950321746
18.541,23.648,11.932,37.433996863604136
26.31,23.595,12.256,37.45758105364671
27.504,24.383,19.009,38.46878056220514
27.748,23.743,19.019,38.22458607122656
17.409,24.468,19.24,38.35985384629465
17.236,23.774,19.19,38.1597528646779
17.724,21.763,19.009,38.468781569771934
17.48,22.403,19.019,38.224588180142064
27.819,21.678,19.24,38.35984433468484
27.992,22.371,19.19,38.15969826106532
26.636,21.995,12.485,38.120606692127055
26.851,22.52,12.467,37.99435111832706
18.671,22.016,12.543,37.59607759602258
18.621,22.552,12.637,37.972182367409204
18.592,24.151,12.485,38.12062088202998
18.377,23.626,12.467,37.99436002078444
26.557,24.13,12.543,37.596076510446295
26.607,23.594,12.637,37.97217889091591
27.769,23.073,18.874,38.19140742325702
17.459,23.073,18.874,38.191410984041
26.771,23.073,12.652,38.11853311520232
18.457,23.073,12.652,38.118538967385724
28.544,23.756,18.003,37.63725585522357
28.815,23.072,18.804,37.23583377948303
16.593,23.766,18.042,37.69887450436041
16.413,23.074,18.804,37.235839515768085
16.684,22.39,18.003,37.637258201537556
28.635,22.38,18.042,37.69886869133574
27.175,22.548,13.45,38.542751571118515
27.2,23.073,12.978,38.23639245618271
17.688,22.506,13.292,38.084390110109
18.028,23.073,12.978,38.23639681715278
18.053,23.598,13.45,38.54275747244518
27.54,23.64,13.292,38.084388165511385
27.999,23.726,18.433,38.06728202543887
16.969,23.758,18.578,37.8464351531007
17.229,22.42,18.433,38.067284370761634
28.259,22.388,18.578,37.84642824565139
27.043,22.536,12.959,38.29851606943524
18.185,22.536,12.959,38.178747650982785
18.185,23.61,12.959,38.29852323456804
27.043,23.61,12.959,38.17874493616959
28.134,24.368,17.938,38.27813678469203
16.916,24.41,18.019,37.94002996093222
17.094,21.778,17.938,38.278138064073545
28.312,21.736,18.019,37.940022900370664
27.155,22.008,13.366,38.853429366447415
17.628,21.903,13.164,37.79591658525395
18.073,24.138,13.366,38.85343684424533
27.6,24.243,13.164,37.795915960117085
27.268,25.4,17.757,40.60098981966915
27.552,24.979,18.462,39.146866984498374
27.764,24.935,17.882,39.089018329350424
17.878,25.441,17.797,38.59621575011128
17.514,25.041,18.561,38.42604223158928
17.207,25.028,18.005,38.18487814705759
17.96,20.746,17.757,40.60098989447492
17.676,21.167,18.462,39.14686753746152
17.464,21.211,17.882,39.08901894262176
27.35,20.705,17.797,38.596212624631306
27.714,21.105,18.561,38.426034463476114
28.021,21.118,18.005,38.184871098514606
26.941,20.909,13.266,40.20784460389309
26.581,21.542,12.994,38.962044478915395
27.077,21.459,13.304,39.42638422630393
17.307,20.419,12.776,36.861235605304614
17.757,21.198,12.447,36.98142403905818
17.55,21.242,13.018,37.373895726268586
18.287,25.237,13.266,40.207852465770486
18.647,24.604,12.994,38.96206020319069
18.151,24.687,13.304,39.42639265105889
27.921,25.727,12.776,36.86123646070607
27.471,24.948,12.447,36.98142467518076
27.678,24.904,13.018,37.37389608692556
27.676,24.34,18.39,38.56225099224212
17.13,24.445,18.637,38.026424434156
17.552,21.806,18.39,38.562252187970955
28.098,21.701,18.637,38.02641487862541
26.917,21.996,12.913,38.54558511057897
18.227,21.975,12.864,37.89078455005557
18.311,24.15,12.913,38.54559541366342
27.001,24.171,12.864,37.89078365848023
26.574,27.033,15.43,41.13680111512002
26.838,26.701,16.026,43.4212691155052
26.866,26.562,15.43,40.69955529209166
18.725,26.962,15.43,45.80520964759815
18.39,26.701,16.026,42.147847072171814
18.362,26.562,15.43,45.02844402244294
18.654,19.113,15.43,41.13679902699272
18.39,19.445,16.026,43.42126775102146
18.362,19.584,15.43,40.699553594563014
26.503,19.184,15.43,45.80520101344021
26.838,19.445,16.026,42.14784185214801
26.866,19.584,15.43,45.028437840019066
26.687,19.575,14.854,48.75996588244187
18.314,19.381,14.822,39.411725120007965
18.541,26.571,14.854,48.75997397474424
26.914,26.765,14.822,39.411727093193996
27.27,26.184,15.43,40.12910331794763
27.259,26.321,16.035,42.177670698891475
18.374,25.906,15.43,42.18120238889502
18.132,26.207,16.014,41.40723144460182
17.958,19.962,15.43,40.1291022425519
17.969,19.825,16.035,42.17766984197195
26.854,20.24,15.43,42.18119554544656
27.096,19.939,16.014,41.40722684744259
26.77,20.167,14.888,43.878398738165494
17.888,19.768,14.813,39.02290937000958
18.458,25.979,14.888,43.8784068845072
27.34,26.378,14.813,39.022910664135395
27.109,26.364,16.634,45.1470083689441
18.119,26.364,16.634,40.181270916576715
18.119,19.782,16.634,45.14700757768238
27.109,19.782,16.634,40.18126721630635
26.794,20.013,14.31,46.089930042169165
17.803,19.551,14.141,38.21860267006783
18.434,26.133,14.31,46.089936913767154
27.425,26.595,14.141,38.21860412939364
27.506,25.403,17.198,40.64466552170855
27.228,25.906,17.211,43.1214928382688
17.893,25.321,17.136,39.02200140164476
17.919,25.956,17.242,39.077146242739175
17.722,20.743,17.198,40.64466557825209
18.0,20.24,17.211,43.12149248314725
27.335,20.825,17.136,39.02199799305392
27.309,20.19,17.242,39.07714349024357
27.077,20.948,13.816,40.79589266218827
26.823,20.488,13.805,42.27222149544316
16.864,20.334,13.351,37.15225947829116
17.271,19.792,13.367,37.12743936674262
18.151,25.198,13.816,40.79589912664339
18.405,25.658,13.805,42.27222882762719
28.364,25.812,13.351,37.15225999142914
27.957,26.354,13.367,37.12744032366277
27.423,25.886,16.633,42.19237999703418
18.227,25.639,16.528,39.85576303257871
17.805,20.26,16.633,42.19237959344579
27.001,20.507,16.528,39.85575879468134
26.917,20.556,14.353,42.40617027832897
17.045,19.816,14.036,37.654696485152
18.311,25.59,14.353,42.40617765910015
28.183,26.33,14.036,37.654697114774436
28.134,25.582,16.724,40.11287802583484
18.162,25.096,16.474,39.458928254871864
17.094,20.564,16.724,40.112878131198244
27.066,21.05,16.474,39.458924072976174
27.155,21.009,14.364,40.77924150377597
16.649,20.362,14.03,37.68916545302349
18.073,25.137,14.364,40.77924772635325
28.579,25.784,14.03,37.68916575523818
28.17,26.043,15.43,39.31597787940163
28.361,25.567,16.091,39.482800052512616
18.293,25.383,15.43,40.733215030610666
17.961,25.092,15.965,39.73950604543276
17.058,20.103,15.43,39.31597761089856
16.867,20.579,16.091,39.482800106220864
26.935,20.763,15.43,40.73320858159232
27.267,21.054,15.965,39.7395017398889
27.084,21.133,14.915,40.32419467517642
16.684,20.5,14.747,38.35019331913435
18.144,25.013,14.915,40.32420104961037
28.544,25.646,14.747,38.35019347722037
27.999,26.076,16.083,40.68204079534113
18.185,25.543,15.967,40.399634362195165
17.229,20.07,16.083,40.68204055584487
27.043,20.603,15.967,40.39962929886052
26.87,20.7,14.913,41.46875765013353
17.229,20.07,14.776,38.60630072878236
18.358,25.446,14.913,41.468765351138806
27.999,26.076,14.776,38.606301284818855
28.662,24.406,17.402,37.93010617865016
17.31,24.242,17.159,38.32082753337441
