molecule,lthreshold_0.5,lthreshold_1,lthreshold_2,lthreshold_3,lthreshold_4,lthreshold_5,lthreshold_6,lthreshold_7,lthreshold_8,lthreshold_9,lthreshold_10
B1.pdb,,,,,,,,,,,
B2.pdb,,,,,,,,,,,
B3.pdb,,,,,,,,,,,
B4.pdb,,,,,,,,,,,
B5.pdb,,,,,,,,,,,
B6.pdb,,,,,,,,,,,
B7.pdb,,,,,,,,,,,
B8.pdb,,,,,,,,,,,
B9.pdb,,,,,,,,,,,
B10.pdb,,,,,,,,,,,
B11.pdb,,,,,,,,,,,
B12.pdb,,,,,,,,,,,
B13.pdb,,,,,,,,,,,
A1.pdb,16.997954892166092,1.81787450085743,11.20448193087536,11.559552263855618,11.846309371694357,12.176346819261,12.399789035358348,12.62598400722871,12.854946409900169,13.08669347667338,13.321241312779982
C1.pdb,6.5487905658987575,59.15477380892107,125.71825230692875,181.76657474832746,237.21346475413867,287.238291397196,352.4377510260386,395.34501010989646,388.21988036539045,410.4437925393035,423.26078520799166
F1.pdb,5.32566699039362,48.97446074735092,127.63832454932944,192.03605454991438,271.511785466763,317.5789060321281,378.99608927150996,425.23965825383937,429.74805305649915,440.09780022445665,472.46550359114485
F2.pdb,30.23012576044873,30.090266985569453,29.66001725663879,29.517653885377115,28.78369675435054,28.00220693842767,28.00220693842767,26.429016793878564,24.042959368784654,17.60711246323394,14.923302429056223
H1.pdb,74.05989478420267,226.77172030512202,514.9963159927818,676.9268652830114,968.388959441459,944.5038650766786,962.702001303348,908.4662998551337,960.5037326121214,913.107497028522,1041.5936492179164
N1.pdb,5.287796145855988,4.729871423652513,13.269458230503059,22.947233384010584,31.28959238257618,35.997099955169986,46.08875258401497,53.88739843786771,61.0131940758029,70.67777993535834,74.79790989675817
O1.pdb,20.08132788206771,13.571672511228652,1.8839830782492646,10.049746190186541,17.639313442852135,26.721721762508523,9.489549443454683,17.51977386230666,57.33299905064433,42.35775719641158,28.999120659873945
W1.pdb,10.270147164022873,19.26488936594407,23.329311535921462,24.96213042179899,28.28295929413741,28.162672297415643,30.452466339825918,32.50447889645949,34.71946196390394,38.841433340690486,44.228407430473766
O2.pdb,976.6249082561284,2462.802287495563,5772.071073968506,5927.741652001605,5143.376905561377,5435.966700419875,4433.173688637652,4672.98234273728,4696.892127439584,5048.480022479183,3864.096784383206
C13.pdb,,,,,,,,,,,
C14.pdb,,,,,,,,,,,
C16.pdb,,,,,,,,,,,
