molecule,lthreshold,calc_volume,std_volume,std_source,rebek_volume_cached,abs_error_percent,time_seconds,status,error_message
B1.pdb,0.5,300.4274577290071,,missing,,,7.936004638671875,OK,
B2.pdb,0.5,311.1188024647646,,missing,,,8.804850816726685,OK,
B3.pdb,0.5,293.014499252223,,missing,,,8.451920509338379,OK,
B4.pdb,0.5,436.72798453944193,,missing,,,5.799972057342529,OK,
B5.pdb,0.5,88.44525365291874,,missing,,,4.036650657653809,OK,
B6.pdb,0.5,87.35175705911911,,missing,,,3.6246259212493896,OK,
B7.pdb,0.5,583.8182757773985,,missing,,,15.920586824417114,OK,
B8.pdb,0.5,600.6432488915545,,missing,,,11.183947563171387,OK,
B9.pdb,0.5,231.4989683766255,,missing,,,5.267336130142212,OK,
B10.pdb,0.5,278.412258704278,,missing,,,8.650209903717041,OK,
B11.pdb,0.5,473.0171245599798,,missing,,,9.047373294830322,OK,
B12.pdb,0.5,595.7212863380745,,missing,,,8.660013675689697,OK,
B13.pdb,0.5,607.3411962446048,,missing,,,11.297484636306763,OK,
A1.pdb,0.5,1141.2781202327162,1375.0,csv_or_builtin,,16.997954892166092,11.235257387161255,OK,
C1.pdb,0.5,584.9528602067842,549.0,csv_or_builtin,,6.5487905658987575,6.6244964599609375,OK,
F1.pdb,0.5,526.6283349519681,500.0,csv_or_builtin,,5.32566699039362,8.154922485351562,OK,
F2.pdb,0.5,29702.430861261768,42572.0,csv_or_builtin,,30.23012576044873,198.17509698867798,OK,
H1.pdb,0.5,450.8151274910849,259.0,csv_or_builtin,,74.05989478420267,8.634051084518433,OK,
N1.pdb,0.5,458.407066654057,484.0,csv_or_builtin,,5.287796145855988,8.103476524353027,OK,
O1.pdb,0.5,113.48451440746385,142.0,csv_or_builtin,,20.08132788206771,6.180341482162476,OK,
W1.pdb,0.5,441.0805886560915,400.0,csv_or_builtin,,10.270147164022873,13.67076826095581,OK,
O2.pdb,0.5,215.3249816512257,20.0,csv_or_builtin,,976.6249082561284,8.599757432937622,OK,
C13.pdb,0.5,4035.139166890557,,missing,,,42.38857555389404,OK,
C14.pdb,0.5,6280.018047945148,,missing,,,81.41047286987305,OK,
C16.pdb,0.5,61608.393404793176,,missing,,,594.4873046875,OK,
B1.pdb,1.0,319.3924099362437,,missing,,,6.071932554244995,OK,
B2.pdb,1.0,333.3936303068938,,missing,,,7.651592969894409,OK,
B3.pdb,1.0,312.0349308478666,,missing,,,6.752854347229004,OK,
B4.pdb,1.0,491.30047845040036,,missing,,,4.214095592498779,OK,
B5.pdb,1.0,88.91314097771306,,missing,,,2.989922523498535,OK,
B6.pdb,1.0,89.18873620936456,,missing,,,3.1678285598754883,OK,
B7.pdb,1.0,825.5311020164637,,missing,,,9.81721830368042,OK,
B8.pdb,1.0,846.8861686492452,,missing,,,6.7884743213653564,OK,
B9.pdb,1.0,232.6226502171917,,missing,,,3.7525315284729004,OK,
B10.pdb,1.0,297.2189567248886,,missing,,,6.903526544570923,OK,
B11.pdb,1.0,526.135903945943,,missing,,,6.670918226242065,OK,
B12.pdb,1.0,707.3526964056971,,missing,,,6.271551132202148,OK,
B13.pdb,1.0,849.7280616781153,,missing,,,8.21541428565979,OK,
A1.pdb,1.0,1399.9957743867897,1375.0,csv_or_builtin,,1.81787450085743,7.336313247680664,OK,
C1.pdb,1.0,873.7597082109767,549.0,csv_or_builtin,,59.15477380892107,7.767379522323608,OK,
F1.pdb,1.0,744.8723037367546,500.0,csv_or_builtin,,48.97446074735092,9.66672968864441,OK,
F2.pdb,1.0,29761.971538903374,42572.0,csv_or_builtin,,30.090266985569453,157.55625581741333,OK,
H1.pdb,1.0,846.338755590266,259.0,csv_or_builtin,,226.77172030512202,13.452180624008179,OK,
N1.pdb,1.0,506.89257769047816,484.0,csv_or_builtin,,4.729871423652513,8.042065858840942,OK,
O1.pdb,1.0,122.72822503405531,142.0,csv_or_builtin,,13.571672511228652,5.889619588851929,OK,
W1.pdb,1.0,477.0595574637763,400.0,csv_or_builtin,,19.26488936594407,10.890515089035034,OK,
O2.pdb,1.0,512.5604574991127,20.0,csv_or_builtin,,2462.802287495563,9.887742519378662,OK,
C13.pdb,1.0,4132.253621336916,,missing,,,29.9040310382843,OK,
C14.pdb,1.0,6333.455263539266,,missing,,,32.626694440841675,OK,
C16.pdb,1.0,61608.393404793176,,missing,,,296.1371474266052,OK,
B1.pdb,2.0,323.54020096329117,,missing,,,4.8764872550964355,OK,
B2.pdb,2.0,345.7798281457702,,missing,,,7.406460285186768,OK,
B3.pdb,2.0,315.35146724598576,,missing,,,5.596347093582153,OK,
B4.pdb,2.0,495.23810912983254,,missing,,,4.157863616943359,OK,
B5.pdb,2.0,89.52889087537824,,missing,,,2.8008334636688232,OK,
B6.pdb,2.0,91.84157024373997,,missing,,,3.11447811126709,OK,
B7.pdb,2.0,836.4279354694743,,missing,,,7.496624946594238,OK,
B8.pdb,2.0,856.1607593198728,,missing,,,5.078326940536499,OK,
B9.pdb,2.0,232.6249600729795,,missing,,,3.528449535369873,OK,
B10.pdb,2.0,301.34666261050427,,missing,,,5.347273349761963,OK,
B11.pdb,2.0,527.4164617950269,,missing,,,4.936959505081177,OK,
B12.pdb,2.0,723.5925464449823,,missing,,,6.075862169265747,OK,
B13.pdb,2.0,880.2420013079316,,missing,,,8.082292318344116,OK,
A1.pdb,2.0,1529.0616265495362,1375.0,csv_or_builtin,,11.20448193087536,5.35763955116272,OK,
C1.pdb,2.0,1239.1932051650388,549.0,csv_or_builtin,,125.71825230692875,11.103400945663452,OK,
F1.pdb,2.0,1138.1916227466472,500.0,csv_or_builtin,,127.63832454932944,13.204179763793945,OK,
F2.pdb,2.0,29945.137453503736,42572.0,csv_or_builtin,,29.66001725663879,63.192211389541626,OK,
H1.pdb,2.0,1592.8404584213047,259.0,csv_or_builtin,,514.9963159927818,18.392592668533325,OK,
N1.pdb,2.0,548.2241778356348,484.0,csv_or_builtin,,13.269458230503059,8.39999532699585,OK,
O1.pdb,2.0,139.32474402888604,142.0,csv_or_builtin,,1.8839830782492646,5.600287199020386,OK,
W1.pdb,2.0,493.31724614368585,400.0,csv_or_builtin,,23.329311535921462,10.34580659866333,OK,
O2.pdb,2.0,1174.4142147937011,20.0,csv_or_builtin,,5772.071073968506,14.467487335205078,OK,
C13.pdb,2.0,4724.875602769743,,missing,,,14.988070011138916,OK,
C14.pdb,2.0,6538.294115944976,,missing,,,22.87955141067505,OK,
C16.pdb,2.0,61797.155340604106,,missing,,,181.05040764808655,OK,
B1.pdb,3.0,328.132914108046,,missing,,,5.330405235290527,OK,
B2.pdb,3.0,349.9766210520743,,missing,,,7.132566928863525,OK,
B3.pdb,3.0,318.83397651826795,,missing,,,6.040441989898682,OK,
B4.pdb,3.0,500.5703981648802,,missing,,,4.175658941268921,OK,
B5.pdb,3.0,89.71312329696393,,missing,,,3.0150108337402344,OK,
B6.pdb,3.0,93.8124467355896,,missing,,,3.2471675872802734,OK,
B7.pdb,3.0,836.3293794542483,,missing,,,7.273121356964111,OK,
B8.pdb,3.0,856.1607593198728,,missing,,,5.071163177490234,OK,
B9.pdb,3.0,232.6249600729795,,missing,,,3.607386589050293,OK,
B10.pdb,3.0,304.1058740520577,,missing,,,5.299132823944092,OK,
B11.pdb,3.0,527.4164617950269,,missing,,,5.102858304977417,OK,
B12.pdb,3.0,733.7475790918064,,missing,,,411.1341052055359,OK,
B13.pdb,3.0,901.3754583086271,,missing,,,9.04875111579895,OK,
A1.pdb,3.0,1533.9438436280147,1375.0,csv_or_builtin,,11.559552263855618,5.3208677768707275,OK,
C1.pdb,3.0,1546.8984953683178,549.0,csv_or_builtin,,181.76657474832746,13.241039991378784,OK,
F1.pdb,3.0,1460.180272749572,500.0,csv_or_builtin,,192.03605454991438,14.046517133712769,OK,
F2.pdb,3.0,30005.744387917253,42572.0,csv_or_builtin,,29.517653885377115,48.27555322647095,OK,
H1.pdb,3.0,2012.2405810829994,259.0,csv_or_builtin,,676.9268652830114,23.310187816619873,OK,
N1.pdb,3.0,595.0646095786112,484.0,csv_or_builtin,,22.947233384010584,9.795809268951416,OK,
O1.pdb,3.0,156.2706395900649,142.0,csv_or_builtin,,10.049746190186541,6.007989168167114,OK,
W1.pdb,3.0,499.84852168719596,400.0,csv_or_builtin,,24.96213042179899,10.443334817886353,OK,
O2.pdb,3.0,1205.548330400321,20.0,csv_or_builtin,,5927.741652001605,13.568862915039062,OK,
C13.pdb,3.0,6101.064430058263,,missing,,,16.4236478805542,OK,
C14.pdb,3.0,7258.65250392514,,missing,,,15.640527725219727,OK,
C16.pdb,3.0,61996.18068948752,,missing,,,99.72874188423157,OK,
B1.pdb,4.0,328.4871320371519,,missing,,,5.0787928104400635,OK,
B2.pdb,4.0,352.26229791093135,,missing,,,6.789723873138428,OK,
B3.pdb,4.0,322.23615814391087,,missing,,,6.329426050186157,OK,
B4.pdb,4.0,506.1766277070133,,missing,,,4.302750825881958,OK,
B5.pdb,4.0,90.54192067412414,,missing,,,2.8951401710510254,OK,
B6.pdb,4.0,96.3821638725202,,missing,,,3.2247283458709717,OK,
B7.pdb,4.0,836.3293794542483,,missing,,,7.2589592933654785,OK,
B8.pdb,4.0,856.1607593198728,,missing,,,5.025783538818359,OK,
B9.pdb,4.0,232.6249600729795,,missing,,,3.5107550621032715,OK,
B10.pdb,4.0,305.47270109768544,,missing,,,5.104568243026733,OK,
B11.pdb,4.0,527.4164617950269,,missing,,,5.0929601192474365,OK,
B12.pdb,4.0,742.2228788269091,,missing,,,6.158646106719971,OK,
B13.pdb,4.0,924.500996729929,,missing,,,8.468409299850464,OK,
A1.pdb,4.0,1537.8867538607974,1375.0,csv_or_builtin,,11.846309371694357,5.727359771728516,OK,
C1.pdb,4.0,1851.3019215002214,549.0,csv_or_builtin,,237.21346475413867,14.189390420913696,OK,
F1.pdb,4.0,1857.5589273338148,500.0,csv_or_builtin,,271.511785466763,14.960535049438477,OK,
F2.pdb,4.0,30318.204617737887,42572.0,csv_or_builtin,,28.78369675435054,41.421889781951904,OK,
H1.pdb,4.0,2767.1274049533786,259.0,csv_or_builtin,,968.388959441459,21.700583457946777,OK,
N1.pdb,4.0,635.4416271316687,484.0,csv_or_builtin,,31.28959238257618,9.599656343460083,OK,
O1.pdb,4.0,167.04782508885003,142.0,csv_or_builtin,,17.639313442852135,6.30565071105957,OK,
W1.pdb,4.0,513.1318371765497,400.0,csv_or_builtin,,28.28295929413741,10.561741828918457,OK,
O2.pdb,4.0,1048.6753811122753,20.0,csv_or_builtin,,5143.376905561377,12.400452852249146,OK,
C13.pdb,4.0,6758.002972913612,,missing,,,19.09089422225952,OK,
C14.pdb,4.0,8456.229471646831,,missing,,,17.714205265045166,OK,
C16.pdb,4.0,62090.570988383195,,missing,,,72.59445905685425,OK,
B1.pdb,5.0,333.2329497069427,,missing,,,5.413254261016846,OK,
B2.pdb,5.0,362.2173258282661,,missing,,,7.6818764209747314,OK,
B3.pdb,5.0,324.24323112646516,,missing,,,6.937450170516968,OK,
B4.pdb,5.0,509.740937996252,,missing,,,4.4214088916778564,OK,
B5.pdb,5.0,90.61045954865193,,missing,,,2.9602415561676025,OK,
B6.pdb,5.0,97.4967410576871,,missing,,,2857.3563237190247,OK,
B7.pdb,5.0,836.3293794542483,,missing,,,7.756953954696655,OK,
B8.pdb,5.0,856.1607593198728,,missing,,,5.7568159103393555,OK,
B9.pdb,5.0,232.6249600729795,,missing,,,3.584425210952759,OK,
B10.pdb,5.0,306.9958760830675,,missing,,,5.305034637451172,OK,
B11.pdb,5.0,527.4164617950269,,missing,,,4.9457008838653564,OK,
B12.pdb,5.0,749.9954174050556,,missing,,,6.395053386688232,OK,
B13.pdb,5.0,943.4884832707875,,missing,,,9.205400705337524,OK,
A1.pdb,5.0,1542.4247687648387,1375.0,csv_or_builtin,,12.176346819261,5.567300081253052,OK,
C1.pdb,5.0,2125.938219770606,549.0,csv_or_builtin,,287.238291397196,13.960734844207764,OK,
F1.pdb,5.0,2087.8945301606404,500.0,csv_or_builtin,,317.5789060321281,16.85693907737732,OK,
F2.pdb,5.0,30650.900462172573,42572.0,csv_or_builtin,,28.00220693842767,32.53622913360596,OK,
H1.pdb,5.0,2705.2650105485977,259.0,csv_or_builtin,,944.5038650766786,20.37888789176941,OK,
N1.pdb,5.0,658.2259637830227,484.0,csv_or_builtin,,35.997099955169986,9.577194213867188,OK,
O1.pdb,5.0,179.9448449027621,142.0,csv_or_builtin,,26.721721762508523,6.649922847747803,OK,
W1.pdb,5.0,512.6506891896626,400.0,csv_or_builtin,,28.162672297415643,9.857608079910278,OK,
O2.pdb,5.0,1107.193340083975,20.0,csv_or_builtin,,5435.966700419875,11.45729374885559,OK,
C13.pdb,5.0,7592.763766120023,,missing,,,21.214458465576172,OK,
C14.pdb,5.0,9142.279784293287,,missing,,,20.12906289100647,OK,
C16.pdb,5.0,62090.570988383195,,missing,,,73.37970352172852,OK,
B1.pdb,6.0,334.0574258046694,,missing,,,5.285904407501221,OK,
B2.pdb,6.0,363.84174175111724,,missing,,,7.295814275741577,OK,
B3.pdb,6.0,325.90282090446027,,missing,,,6.0131518840789795,OK,
B4.pdb,6.0,516.8866790650968,,missing,,,4.52658486366272,OK,
B5.pdb,6.0,91.49266109127214,,missing,,,3.185915231704712,OK,
B6.pdb,6.0,101.06897252939035,,missing,,,3.3674919605255127,OK,
B7.pdb,6.0,836.3293794542483,,missing,,,7.272743463516235,OK,
B8.pdb,6.0,856.1607593198728,,missing,,,5.093905448913574,OK,
B9.pdb,6.0,232.6249600729795,,missing,,,3.5620181560516357,OK,
B10.pdb,6.0,307.9505982096481,,missing,,,5.386929035186768,OK,
B11.pdb,6.0,527.4164617950269,,missing,,,4.956264972686768,OK,
B12.pdb,6.0,758.237370067534,,missing,,,6.547991514205933,OK,
